;tool;sol_version;type;subtype;insecure;error;ground_truth
65;ethor-2023;v5;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
66;ethor-2023;v5;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
67;ethor-2023;v5;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
68;ethor-2023;v5;CrossFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
69;ethor-2023;v5;DelegatedReentrancy;NonVulnerableFixedAddress;1.0;1;0
70;ethor-2023;v5;DelegatedReentrancy;NonVulnerableUserDefinedAddress;1.0;1;0
71;ethor-2023;v5;DelegatedReentrancy;ReentrantCodePartsFixedAddress;1.0;1;0
72;ethor-2023;v5;DelegatedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;1;0
73;ethor-2023;v5;DelegatedReentrancy;SendFixedAddress;1.0;1;0
74;ethor-2023;v5;DelegatedReentrancy;SendUserDefinedAddress;1.0;1;0
75;ethor-2023;v5;DelegatedReentrancy;TransferFixedAddress;1.0;1;0
76;ethor-2023;v5;DelegatedReentrancy;TransferUserDefinedAddress;1.0;1;0
77;ethor-2023;v5;DelegatedReentrancy;VulnerableEtherLossFixedAddress;1.0;1;1
78;ethor-2023;v5;DelegatedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;1;1
79;ethor-2023;v5;DelegatedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;1;1
80;ethor-2023;v5;DelegatedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;1;1
81;ethor-2023;v5;SameFunctionReentrancy;NonReentrant;0.0;0;0
82;ethor-2023;v5;SameFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
83;ethor-2023;v5;SameFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
84;ethor-2023;v5;SameFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
85;ethor-2023;v5;SameFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
86;ethor-2023;v5;SameFunctionReentrancy;SendFixedAddress;0.0;0;0
87;ethor-2023;v5;SameFunctionReentrancy;SendUserDefinedAddress;0.0;0;0
88;ethor-2023;v5;SameFunctionReentrancy;TransferFixedAddress;0.0;0;0
89;ethor-2023;v5;SameFunctionReentrancy;TransferUserDefinedAddress;0.0;0;0
90;ethor-2023;v5;SameFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
91;ethor-2023;v5;SameFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;0.0;1;1
92;ethor-2023;v5;SameFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
93;ethor-2023;v5;SameFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
94;ethor-2023;v6;CreateBasedReentrancy;NonReentrant;1.0;0;0
95;ethor-2023;v6;CreateBasedReentrancy;NonVulnerableFixedAddress;1.0;0;0
96;ethor-2023;v6;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
97;ethor-2023;v6;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
98;ethor-2023;v6;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
99;ethor-2023;v6;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
100;ethor-2023;v6;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
101;ethor-2023;v6;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
102;ethor-2023;v6;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
103;ethor-2023;v6;CrossFunctionReentrancy;NonReentrant;0.0;0;0
104;ethor-2023;v6;CrossFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
105;ethor-2023;v6;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
106;ethor-2023;v6;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
107;ethor-2023;v6;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
108;ethor-2023;v6;CrossFunctionReentrancy;SendFixedAddress;1.0;0;0
109;ethor-2023;v6;CrossFunctionReentrancy;SendUserDefinedAddress;1.0;0;0
110;ethor-2023;v6;CrossFunctionReentrancy;TransferFixedAddress;1.0;0;0
111;ethor-2023;v6;CrossFunctionReentrancy;TransferUserDefinedAddress;1.0;0;0
112;ethor-2023;v6;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
113;ethor-2023;v6;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
114;ethor-2023;v6;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
115;ethor-2023;v6;CrossFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
116;ethor-2023;v6;DelegatedReentrancy;NonVulnerableFixedAddress;1.0;1;0
117;ethor-2023;v6;DelegatedReentrancy;NonVulnerableUserDefinedAddress;1.0;1;0
118;ethor-2023;v6;DelegatedReentrancy;ReentrantCodePartsFixedAddress;1.0;1;0
119;ethor-2023;v6;DelegatedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;1;0
120;ethor-2023;v6;DelegatedReentrancy;SendFixedAddress;1.0;1;0
121;ethor-2023;v6;DelegatedReentrancy;SendUserDefinedAddress;1.0;1;0
122;ethor-2023;v6;DelegatedReentrancy;TransferFixedAddress;1.0;1;0
123;ethor-2023;v6;DelegatedReentrancy;TransferUserDefinedAddress;1.0;1;0
124;ethor-2023;v6;DelegatedReentrancy;VulnerableEtherLossFixedAddress;1.0;1;1
125;ethor-2023;v6;DelegatedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;1;1
126;ethor-2023;v6;DelegatedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;1;1
127;ethor-2023;v6;DelegatedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;1;1
128;ethor-2023;v6;SameFunctionReentrancy;NonReentrant;0.0;0;0
129;ethor-2023;v6;SameFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
130;ethor-2023;v6;SameFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
131;ethor-2023;v6;SameFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
132;ethor-2023;v6;SameFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
133;ethor-2023;v6;SameFunctionReentrancy;SendFixedAddress;0.0;0;0
134;ethor-2023;v6;SameFunctionReentrancy;SendUserDefinedAddress;0.0;0;0
135;ethor-2023;v6;SameFunctionReentrancy;TransferFixedAddress;0.0;0;0
136;ethor-2023;v6;SameFunctionReentrancy;TransferUserDefinedAddress;0.0;0;0
137;ethor-2023;v6;SameFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
138;ethor-2023;v6;SameFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
139;ethor-2023;v6;SameFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
140;ethor-2023;v6;SameFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
141;ethor-2023;v7;CreateBasedReentrancy;NonReentrant;1.0;0;0
142;ethor-2023;v7;CreateBasedReentrancy;NonVulnerableFixedAddress;1.0;0;0
143;ethor-2023;v7;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
144;ethor-2023;v7;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
145;ethor-2023;v7;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
146;ethor-2023;v7;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
147;ethor-2023;v7;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
148;ethor-2023;v7;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
149;ethor-2023;v7;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
150;ethor-2023;v7;CrossFunctionReentrancy;NonReentrant;0.0;0;0
151;ethor-2023;v7;CrossFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
152;ethor-2023;v7;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
153;ethor-2023;v7;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
154;ethor-2023;v7;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
155;ethor-2023;v7;CrossFunctionReentrancy;SendFixedAddress;1.0;0;0
156;ethor-2023;v7;CrossFunctionReentrancy;SendUserDefinedAddress;1.0;0;0
157;ethor-2023;v7;CrossFunctionReentrancy;TransferFixedAddress;1.0;0;0
158;ethor-2023;v7;CrossFunctionReentrancy;TransferUserDefinedAddress;1.0;0;0
159;ethor-2023;v7;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
160;ethor-2023;v7;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
161;ethor-2023;v7;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
162;ethor-2023;v7;CrossFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
163;ethor-2023;v7;DelegatedReentrancy;NonVulnerableFixedAddress;1.0;1;0
164;ethor-2023;v7;DelegatedReentrancy;NonVulnerableUserDefinedAddress;1.0;1;0
165;ethor-2023;v7;DelegatedReentrancy;ReentrantCodePartsFixedAddress;1.0;1;0
166;ethor-2023;v7;DelegatedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;1;0
167;ethor-2023;v7;DelegatedReentrancy;SendFixedAddress;1.0;1;0
168;ethor-2023;v7;DelegatedReentrancy;SendUserDefinedAddress;1.0;1;0
169;ethor-2023;v7;DelegatedReentrancy;TransferFixedAddress;1.0;1;0
170;ethor-2023;v7;DelegatedReentrancy;TransferUserDefinedAddress;1.0;1;0
171;ethor-2023;v7;DelegatedReentrancy;VulnerableEtherLossFixedAddress;1.0;1;1
172;ethor-2023;v7;DelegatedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;1;1
173;ethor-2023;v7;DelegatedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;1;1
174;ethor-2023;v7;DelegatedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;1;1
175;ethor-2023;v7;SameFunctionReentrancy;NonReentrant;0.0;0;0
176;ethor-2023;v7;SameFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
177;ethor-2023;v7;SameFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
178;ethor-2023;v7;SameFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
179;ethor-2023;v7;SameFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
180;ethor-2023;v7;SameFunctionReentrancy;SendFixedAddress;0.0;0;0
181;ethor-2023;v7;SameFunctionReentrancy;SendUserDefinedAddress;0.0;0;0
182;ethor-2023;v7;SameFunctionReentrancy;TransferFixedAddress;0.0;0;0
183;ethor-2023;v7;SameFunctionReentrancy;TransferUserDefinedAddress;0.0;0;0
184;ethor-2023;v7;SameFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
185;ethor-2023;v7;SameFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
186;ethor-2023;v7;SameFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
187;ethor-2023;v7;SameFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
188;ethor-2023;v8;CreateBasedReentrancy;NonReentrant;0.0;1;0
189;ethor-2023;v8;CreateBasedReentrancy;NonVulnerableFixedAddress;1.0;0;0
190;ethor-2023;v8;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;0.0;1;0
191;ethor-2023;v8;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
192;ethor-2023;v8;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;1;0
193;ethor-2023;v8;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;1.0;1;1
194;ethor-2023;v8;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
195;ethor-2023;v8;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;0.0;1;1
196;ethor-2023;v8;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;0.0;1;1
197;ethor-2023;v8;CrossFunctionReentrancy;NonReentrant;0.0;0;0
198;ethor-2023;v8;CrossFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
199;ethor-2023;v8;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
200;ethor-2023;v8;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
201;ethor-2023;v8;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;0.0;1;0
202;ethor-2023;v8;CrossFunctionReentrancy;SendFixedAddress;1.0;0;0
203;ethor-2023;v8;CrossFunctionReentrancy;SendUserDefinedAddress;1.0;0;0
204;ethor-2023;v8;CrossFunctionReentrancy;TransferFixedAddress;1.0;0;0
205;ethor-2023;v8;CrossFunctionReentrancy;TransferUserDefinedAddress;1.0;0;0
206;ethor-2023;v8;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
207;ethor-2023;v8;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;0.0;1;1
208;ethor-2023;v8;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;0.0;1;1
209;ethor-2023;v8;CrossFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
210;ethor-2023;v8;DelegatedReentrancy;NonVulnerableFixedAddress;1.0;1;0
211;ethor-2023;v8;DelegatedReentrancy;NonVulnerableUserDefinedAddress;1.0;1;0
212;ethor-2023;v8;DelegatedReentrancy;ReentrantCodePartsFixedAddress;1.0;1;0
213;ethor-2023;v8;DelegatedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;1;0
214;ethor-2023;v8;DelegatedReentrancy;SendFixedAddress;1.0;1;0
215;ethor-2023;v8;DelegatedReentrancy;SendUserDefinedAddress;1.0;1;0
216;ethor-2023;v8;DelegatedReentrancy;TransferFixedAddress;1.0;1;0
217;ethor-2023;v8;DelegatedReentrancy;TransferUserDefinedAddress;1.0;1;0
218;ethor-2023;v8;DelegatedReentrancy;VulnerableEtherLossFixedAddress;1.0;1;1
219;ethor-2023;v8;DelegatedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;1;1
220;ethor-2023;v8;DelegatedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;1;1
221;ethor-2023;v8;DelegatedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;1;1
222;ethor-2023;v8;SameFunctionReentrancy;NonReentrant;0.0;0;0
223;ethor-2023;v8;SameFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
224;ethor-2023;v8;SameFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
225;ethor-2023;v8;SameFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
226;ethor-2023;v8;SameFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
227;ethor-2023;v8;SameFunctionReentrancy;SendFixedAddress;0.0;0;0
228;ethor-2023;v8;SameFunctionReentrancy;SendUserDefinedAddress;0.0;0;0
229;ethor-2023;v8;SameFunctionReentrancy;TransferFixedAddress;0.0;0;0
230;ethor-2023;v8;SameFunctionReentrancy;TransferUserDefinedAddress;0.0;0;0
231;ethor-2023;v8;SameFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
232;ethor-2023;v8;SameFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
233;ethor-2023;v8;SameFunctionReentrancy;VulnerableNoEtherLossFixedAddress;0.0;1;1
234;ethor-2023;v8;SameFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;0.0;1;1
235;mythril-0.23.15;v4;CreateBasedReentrancy;NonReentrant;0.0;0;0
236;mythril-0.23.15;v4;CreateBasedReentrancy;NonVulnerableFixedAddress;0.0;0;0
237;mythril-0.23.15;v4;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;0.0;0;0
238;mythril-0.23.15;v4;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;0.0;0;0
239;mythril-0.23.15;v4;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;0.0;0;0
240;mythril-0.23.15;v4;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;0.0;0;1
241;mythril-0.23.15;v4;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;0.0;0;1
242;mythril-0.23.15;v4;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;0.0;0;1
243;mythril-0.23.15;v4;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;0.0;0;1
244;mythril-0.23.15;v4;CrossFunctionReentrancy;NonReentrant;0.0;0;0
245;mythril-0.23.15;v4;CrossFunctionReentrancy;NonVulnerableFixedAddress;0.0;0;0
246;mythril-0.23.15;v4;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;0.0;0;0
247;mythril-0.23.15;v4;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;0.0;0;0
248;mythril-0.23.15;v4;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;0.0;0;0
249;mythril-0.23.15;v4;CrossFunctionReentrancy;SendFixedAddress;0.0;0;0
250;mythril-0.23.15;v4;CrossFunctionReentrancy;SendUserDefinedAddress;0.0;0;0
251;mythril-0.23.15;v4;CrossFunctionReentrancy;TransferFixedAddress;0.0;0;0
252;mythril-0.23.15;v4;CrossFunctionReentrancy;TransferUserDefinedAddress;0.0;0;0
253;mythril-0.23.15;v4;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;0.0;0;1
254;mythril-0.23.15;v4;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;0.0;0;1
255;mythril-0.23.15;v4;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;0.0;0;1
256;mythril-0.23.15;v4;CrossFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;0.0;0;1
257;mythril-0.23.15;v4;DelegatedReentrancy;NonVulnerableFixedAddress;0.0;0;0
258;mythril-0.23.15;v4;DelegatedReentrancy;NonVulnerableUserDefinedAddress;0.0;0;0
259;mythril-0.23.15;v4;DelegatedReentrancy;ReentrantCodePartsFixedAddress;0.0;0;0
260;mythril-0.23.15;v4;DelegatedReentrancy;ReentrantCodePartsUserDefinedAddress;0.0;0;0
261;mythril-0.23.15;v4;DelegatedReentrancy;SendFixedAddress;0.0;0;0
262;mythril-0.23.15;v4;DelegatedReentrancy;SendUserDefinedAddress;0.0;0;0
263;mythril-0.23.15;v4;DelegatedReentrancy;TransferFixedAddress;0.0;0;0
264;mythril-0.23.15;v4;DelegatedReentrancy;TransferUserDefinedAddress;0.0;0;0
265;mythril-0.23.15;v4;DelegatedReentrancy;VulnerableEtherLossFixedAddress;0.0;0;1
266;mythril-0.23.15;v4;DelegatedReentrancy;VulnerableEtherLossUserDefinedAddress;0.0;0;1
267;mythril-0.23.15;v4;DelegatedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
268;mythril-0.23.15;v4;DelegatedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
269;mythril-0.23.15;v4;SameFunctionReentrancy;NonReentrant;0.0;0;0
270;mythril-0.23.15;v4;SameFunctionReentrancy;NonVulnerableFixedAddress;0.0;0;0
271;mythril-0.23.15;v4;SameFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
272;mythril-0.23.15;v4;SameFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
273;mythril-0.23.15;v4;SameFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
274;mythril-0.23.15;v4;SameFunctionReentrancy;SendFixedAddress;0.0;0;0
275;mythril-0.23.15;v4;SameFunctionReentrancy;SendUserDefinedAddress;0.0;0;0
276;mythril-0.23.15;v4;SameFunctionReentrancy;TransferFixedAddress;0.0;0;0
277;mythril-0.23.15;v4;SameFunctionReentrancy;TransferUserDefinedAddress;0.0;0;0
278;mythril-0.23.15;v4;SameFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
279;mythril-0.23.15;v4;SameFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
280;mythril-0.23.15;v4;SameFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
281;mythril-0.23.15;v4;SameFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
282;mythril-0.23.15;v5;CreateBasedReentrancy;NonReentrant;0.0;0;0
283;mythril-0.23.15;v5;CreateBasedReentrancy;NonVulnerableFixedAddress;0.0;0;0
284;mythril-0.23.15;v5;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;0.0;0;0
285;mythril-0.23.15;v5;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;0.0;0;0
286;mythril-0.23.15;v5;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;0.0;0;0
287;mythril-0.23.15;v5;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;0.0;0;1
