time;type;Accuracy w/o error;Accuracy w/ error;Precision;Recall;Specificity;Error rate;TP;FP;TN;FN;Error;Total
2024-03-13 21:35:06.382000;total;0.6857142857142857;0.6153846153846154;0.48517520215633425;0.4675324675324675;0.7694038245219348;0.10256410256410256;180;191;684;205;144;1404
2024-03-13 21:35:06.382000;ethor-2023;0.4419889502762431;0.3076923076923077;0.33112582781456956;1.0;1.0;0.3038461538461538;50;101;30;0;79;260
2024-03-13 21:35:06.382000;mythril-0.23.15;0.693359375;0.6826923076923077;0.5116279069767442;0.4125;0.7545691906005222;0.015384615384615385;66;63;289;94;8;520
2024-03-13 21:35:06.382000;oyente;0.7586206896551724;0.7051282051282052;0.7424242424242424;0.35766423357664234;0.7615176151761518;0.07051282051282051;49;17;281;88;33;468
2024-03-13 21:35:06.382000;sailfish;0.75;0.6346153846153846;0.6;0.39473684210526316;0.7850467289719626;0.15384615384615385;15;10;84;23;24;156
