;tool;sol_version;analysis;type;subtype;insecure;error;ground_truth
0;mythril-0.23.15;v4;source code;CreateBasedReentrancy;NonReentrant;0;0;0
1;mythril-0.23.15;v4;source code;CreateBasedReentrancy;NonVulnerableFixedAddress;0;0;0
2;mythril-0.23.15;v4;source code;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;0;0;0
3;mythril-0.23.15;v4;source code;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;0;0;0
4;mythril-0.23.15;v4;source code;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;0;0;0
5;mythril-0.23.15;v4;source code;CreateBasedReentrancy;SendFixedAddress;;1;0
6;mythril-0.23.15;v4;source code;CreateBasedReentrancy;SendUserDefinedAddress;;1;0
7;mythril-0.23.15;v4;source code;CreateBasedReentrancy;TransferFixedAddress;0;0;0
8;mythril-0.23.15;v4;source code;CreateBasedReentrancy;TransferUserDefinedAddress;0;0;0
9;mythril-0.23.15;v4;source code;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;0;0;1
10;mythril-0.23.15;v4;source code;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;0;0;1
11;mythril-0.23.15;v4;source code;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;0;0;1
12;mythril-0.23.15;v4;source code;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;0;0;1
13;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;NonReentrant;0;0;0
14;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;NonVulnerableFixedAddress;0;0;0
15;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;0;0;0
16;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;0;0;0
17;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;0;0;0
18;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;SendFixedAddress;0;0;0
19;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;SendUserDefinedAddress;0;0;0
20;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;TransferFixedAddress;0;0;0
21;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;TransferUserDefinedAddress;0;0;0
22;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;0;0;1
23;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;0;0;1
24;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;0;0;1
