time;type;Accuracy w/o error;Accuracy w/ error;Precision;Recall;Specificity;Error rate;TP;FP;TN;FN;Error;Total
2024-02-26 11:17:53.974000;total;0.6844783715012722;0.6226851851851852;0.5187319884726225;0.4675324675324675;0.7536057692307693;0.09027777777777778;180;167;627;205;117;1296
2024-02-26 11:17:53.974000;ethor-2023;0.4968944099378882;0.3333333333333333;0.3816793893129771;1.0;1.0;0.32916666666666666;50;81;30;0;79;240
2024-02-26 11:17:53.974000;mythril-0.23.15;0.6729166666666667;0.6729166666666667;0.5116279069767442;0.4125;0.7321937321937322;0.0;66;63;257;94;0;480
2024-02-26 11:17:53.974000;sailfish;0.7661290322580645;0.6597222222222222;0.7142857142857143;0.39473684210526316;0.7766990291262136;0.1388888888888889;15;6;80;23;20;144
2024-02-26 11:17:53.974000;oyente;0.7463768115942029;0.7152777777777778;0.7424242424242424;0.35766423357664234;0.7471264367816092;0.041666666666666664;49;17;260;88;18;432
