time;type;Accuracy w/o error;Accuracy w/ error;Precision;Recall;Specificity;Error rate
2024-02-21 23:51:55.520000;total;0.6576;0.5708333333333333;0.4789915966386555;0.5588235294117647;0.7674418604651163;0.13194444444444445
2024-02-21 23:51:55.520000;ethor-2023;0.4968944099378882;0.3333333333333333;0.3816793893129771;1.0;1.0;0.32916666666666666
2024-02-21 23:51:55.520000;mythril-0.23.15;0.6791666666666667;0.6791666666666667;0.5217391304347826;0.45;0.7426900584795322;0.0
2024-02-21 23:51:55.520000;sailfish;nan;nan;nan;nan;nan;nan
2024-02-21 23:51:55.520000;oyente;0.75;0.7;0.7368421052631579;0.3783783783783784;0.7526881720430108;0.06666666666666667
