time;type;Accuracy w/o error;Accuracy w/ error;Precision;Recall;Specificity;Error rate;TP;FP;TN;FN;Error;Total
2025-01-10 12:17:40.393000;total;0.6517857142857143;0.5615384615384615;0.4418604651162791;0.5588235294117647;0.6923076923076923;0.13846153846153847;114;144;324;90;108;780
2025-01-10 12:17:40.393000;ethor-2023;0.4419889502762431;0.3076923076923077;0.33112582781456956;1.0;0.22900763358778625;0.3038461538461538;50;101;30;0;79;260
2025-01-10 12:17:40.393000;mythril-0.23.15;0.7038461538461539;0.7038461538461539;0.5217391304347826;0.45;0.8166666666666667;0.0;36;33;147;44;0;260
2025-01-10 12:17:40.393000;oyente;0.7575757575757576;0.6730769230769231;0.7368421052631579;0.3783783783783784;0.9363057324840764;0.11153846153846154;28;10;147;46;29;260
2025-01-10 12:17:40.393000;sailfish;nan;nan;nan;nan;nan;nan;0;0;0;0;0;0
